No,comment_link,Is the repository a software project?,Does the source code comment relate to vulnerability?,What purpose does the vulnerability keyword in code comment serve?,Is the vulnerability-related code source code or test code?,Where is the actual vulnerability with relation to the comment?,,,,,,,,,,,,,,,,,,,
1,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/multiple/remote/24946.rb#L604,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
2,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/php/webapps/11636.php#L2,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
3,https://github.com/robertgauld/OSMExtender/blob/d91fa39c4970e16b85b8bc1a3463b53e11bd15e2/vendor/gems/cancan-1.6.10.rob/spec/spec_helper.rb#L23,Yes,Yes,Workaround,Source code,Multiple,,,,,,,,,,,,,,,,,,,
4,https://github.com/rapid7/metasploit-framework/blob/8ceefce8bf2bbbd74cbca678226e448bc2785575/modules/exploits/linux/http/apache_couchdb_cmd_exec.rb#L24,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
5,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/multiple/remote/24084.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
6,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/local/14591.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
7,https://github.com/PKRoma/ProcessHacker/blob/f3d91aa599df2b24c1e65a0a1f44bcdd9033eee4/phnt/include/ntexapi.h#L2996,Yes,Yes,Keyword-only,Source code,Single,,,,,,,,,,,,,,,,,,,
8,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/remote/17345.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
9,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/bsd/remote/35427.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
10,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/remote/36206.rb#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
11,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/remote/17339.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
12,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/dos/32964.c#L14,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
13,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/multiple/dos/8720.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
14,https://github.com/lyft/envoy/blob/43e06d2177c4e88fb069691863c5a583d0f0bdcb/test/common/http/http2/frame_replay_test.cc#L187,Yes,Yes,Workaround,Test code,Multiple,,,,,,,,,,,,,,,,,,,
15,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/remote/41545.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
16,https://github.com/bitcoin/bitcoin/blob/d1c2ed8dd768fae8ba63b55f316a47b66e5b74f0/test/functional/feature_block.py#L694,Yes,Yes,Workaround,Test code,Multiple,,,,,,,,,,,,,,,,,,,
17,https://github.com/buffer/thug/blob/15598c73400f607bb6abf3b29fa7d64134c58a39/thug/ActiveX/modules/ConnectAndEnterRoom.py#L1,Yes,No,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
18,https://github.com/ronin-ruby/ronin-exploits/blob/dd25c368ade8d95cdeb5ba2844d4d8d1c4c70a2b/lib/ronin/exploits/exploit.rb#L347,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
19,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/netbsd_x86/dos/42272.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
20,https://github.com/Netflix/security_monkey/blob/b50731dde0a3c2deb9b829bbb71247afd1c019dd/security_monkey/auditors/elb.py#L48,Yes,Yes,Warning,Source code,Single,,,,,,,,,,,,,,,,,,,
21,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/local/40562.cpp#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
22,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/hardware/webapps/46171.py#L128,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
23,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/remote/45712.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
24,https://github.com/stasinopoulos/commix/blob/450fdb87aec310a6ba4b4b7156982377160a2c26/src/core/modules/shellshock/shellshock.py#L46,Yes,Yes,Source code context,Source code,Multiple,,,,,,,,,,,,,,,,,,,
25,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/local/40003.c#L8,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
26,https://github.com/rapid7/metasploit-framework/blob/8ceefce8bf2bbbd74cbca678226e448bc2785575/modules/exploits/unix/webapp/oracle_vm_agent_utl.rb#L30,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
27,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/local/30605.c#L13,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
28,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/local/43973.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
29,https://github.com/raspberrypi/linux/blob/6dabe04c82943c34fb5bcadc9cc2ee7b6b4a145b/tools/testing/selftests/x86/sigreturn.c#L259,Yes,Yes,Warning,Source code,Multiple,,,,,,,,,,,,,,,,,,,
30,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/multiple/dos/20705.py#L104,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
31,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/dos/12334.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
32,https://github.com/sipwise/kamailio/blob/f21aa1387286b7a66a7b63ea2a72b369b41bafae/src/modules/tls/tls_domain.c#L738,Yes,Yes,Warning,Source code,Multiple,,,,,,,,,,,,,,,,,,,
33,https://github.com/moodle/moodle/blob/bef0fe2000e332402c572b6fe9d0e20b5b31133a/lib/phpmailer/src/PHPMailer.php#L1568,Yes,Yes,Workaround,Source code,Multiple,,,,,,,,,,,,,,,,,,,
